AGE,workclass,education_level,EDUCATION-NUM,marital-status,OCCUPATION,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,event_time,random_flag,source_system
39$, State-gov, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,2174,0,40, United-States,<=80K,20/10/24,Y,batch
50$, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White,,0.0$,0,13, United-States,<=80K,06/04/26,,batch
38, Private, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,0.0$,0,40, United-States,<=80K,11/05/23 10:00,,web
53$,, 11th,7, Married-civ-spouse, Handlers-cleaners, Husband, Black,,0,0,40, United-States,<=80K,08/07/24,,web
28$, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0,0.0k,40.00%, Cuba,,09/12/24,N,batch
37, Private, Masters,14, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States,<=80K,26/09/25,,app
49, Private, 9th,5, Married-spouse-absent, Other-service,, Black, Female,0,0,16.00%, Jamaica,<=80K,02/05/24,N,web
52,, HS-grad,9.00%, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States,,20/03/26,N,app
31, Private,,14, Never-married, Prof-specialty, Not-in-family, White, Female,14084.0$,0,50, United-States,>80K,03/02/24,N,web
42, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,5178,0,40, United-States,,09/03/24,,web
37, Private, Some-college,10.00%, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0.0k,, United-States,>80K,11/02/23 10:00,Y,crm
30, State-gov, Bachelors,, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, India,>80K,09/11/25,Y,batch
23, Private, Bachelors,13.00%, Never-married, Adm-clerical, Own-child, White, Female,,0,30, United-States,<=80K,,N,batch
32, Private, Assoc-acdm,, Never-married, Sales, Not-in-family, Black, Male,0,0,50, United-States,<=80K,25/12/24,Y,batch
34,, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,45.00%, Mexico,<=80K,09/11/23 10:00,N,web
25$, Self-emp-not-inc, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Male,0,0,35.00%, United-States,<=80K,16/08/24,N,batch
32, Private, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White, Male,0.0$,0,40, United-States,<=80K,05-26-2024 10:00:21,,crm
38, Private, 11th,7, Married-civ-spouse, Sales, Husband,, Male,,0.0k,50, United-States,<=80K,31/01/24,N,web
43, Self-emp-not-inc, Masters,14, Divorced,, Unmarried, White, Female,0.0$,0,45, United-States,>80K,04-24-2025 10:00:21,Y,web
40, Private, Doctorate,16, Married-civ-spouse, Prof-specialty,, White, Male,0,0,60.00%, United-States,,01/04/26,,web
54, Private, HS-grad,9, Separated, Other-service, Unmarried, Black, Female,0,0,20, United-States,<=80K,21/04/24,Y,batch
35, Federal-gov, 9th,5, Married-civ-spouse, Farming-fishing, Husband, Black, Male,0,0.0k,40.00%,,<=80K,09/08/25,N,batch
43$, Private, 11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male,0,2042,40.00%, United-States,<=80K,29/01/24,N,batch
59, Private, HS-grad,9.00%, Divorced, Tech-support,,, Female,0,0,40, United-States,<=80K,02/10/25,N,web
